
user,PR
"dduportal",318
"MarkEWaite",224
"basil",141
"jglick",140
"lemeurherve",137
"timja",134
"jtnord",109
"kmartens27",70
"NotMyFault",70
"jsmith-cb",55
"daniel-beck",52
"abhishekmaity",42
"smerle33",41
"dwnusbaum",39
"Vlatombe",36
"olamy",30
"car-roll",30
"AppVeyorBot",30
"ammanders",28
"gounthar",25
"bguerin",20
"mawinter69",19
"judovana",17
"zbynek",14
"yaroslavafenkin",14
"pdk27",13
"krisstern",13
"jonesbusy",13
"KalleOlaviNiemitalo",12
"stuartrowe",10
"jmMeessen",10
"hervelemeur",10
"hainenber",10
"Kevin-CB",10
"Jagrutiti",10
"sarah-witt",9
"halkeye",8
"awang-parasoft",8
"alecharp",8
"Riliane",8
"NouemanKHAL",8
"uhafner",7
"sghill",7
"rwang-parasoft",7
"mig42",7
"leob-morean",7
"brett0000FF",7
"amuniz",7
"LTegtmeier",7
"raul-arabaolaza",6
"nick-mathison",6
"kinow",6
"icep87",6
"aneveux",6
"SniperBuddy101",6
"MartinGroscheTT",6
"vineeth-bandi",5
"tt-marcel",5
"sandi2382",5
"nfalco79",5
"manuel-rw",5
"julieheard",5
"fabricepipart1a",5
"Wadeck",5
"Vandit1604",5
"ARUS2023",5
"sboardwell",4
"rcowsill",4
"philfry",4
"maxime-michel",4
"linoleparquet",4
"kuisathaverat",4
"ksalerno99",4
"eduard-tita",4
"dkjellin",4
"Roemer",4
"solarlodge",3
"slide",3
"shenxianpeng",3
"scherler",3
"samrocketman",3
"rsandell",3
"rlogasundaram",3
"repolevedavaj",3
"pavlovic-ivan",3
"niralmaruda",3
"minfrin",3
"lli-parasoft",3
"lifeofguenter",3
"kripajoym",3
"jetersen",3
"jamietanna",3
"cdelmonte-zg",3
"alexsch01",3
"ThugPigeon653",3
"Pldi23",3
"JakubKoralewski",3
"AhmadMasry",3
"vjuranek",2
"sushobhit-lt",2
"sghill-rewrite",2
"profhenry",2
"phreakadelle",2
"oleg-nenashev",2
"l3ender",2
"jo2y-tock",2
"greg-swift-yohana",2
"danipen",2
"bzzitsme",2
"ankit-patil-hubs",2
"aaronwalker",2
"StefanSpieker",2
"Sathwik-git",2
"PauloFerreira25",2
"ErikRehmTT",2
"Ceddaerrix",2
"xB-2048",1
"vivienfricadelamadeus",1
"vishalhcl-5960",1
"vbelouso",1
"timbrown5",1
"synomtv",1
"pohanhuangtw",1
"oneingan",1
"olivergondza",1
"offa",1
"nrayapati",1
"nick-ax",1
"netomi",1
"mhenschke-atl",1
"matthuisman",1
"mambu",1
"koraytugay",1
"justnoxx",1
"jaguilar-atl",1
"hypery2k",1
"henryju",1
"gregswift",1
"ericg138",1
"elkangaroo",1
"duemir",1
"dtang-parasoft",1
"dliakh",1
"cyrille-leclerc",1
"centic9",1
"c00ler",1
"benebsiny",1
"aytey",1
"ampuscas",1
"alextu",1
"Uddipaan-Hazarika",1
"TonyNoble",1
"PayBas",1
"JerekKimble",1
"CLAassistant",1
"Ardnas13",1
"AngryTester",1
"Absh-Day",1
