
user,PR
"MarkEWaite",171
"basil",125
"sghill-rewrite",104
"NotMyFault",83
"dduportal",82
"lemeurherve",60
"timja",35
"daniel-beck",27
"janfaracik",22
"smerle33",21
"jglick",18
"jonesbusy",16
"dwnusbaum",16
"olamy",14
"mawinter69",13
"gounthar",12
"jtnord",11
"sghill",10
"Vlatombe",9
"koraytugay",8
"dorin7bogdan",8
"kmartens27",7
"Kevin-CB",7
"yaroslavafenkin",6
"StefanSpieker",6
"vineeth-bandi",5
"sumoanema",5
"sarah-witt",5
"judovana",5
"jchen-parasoft",5
"accelq",5
"songlongcn",4
"res0nance",4
"nitheshrayuduv",4
"magnusbaeck",4
"julieheard",4
"jaguilar-atl",4
"harsh-ps-2003",4
"bguerin",4
"balakine",4
"atl-dyon",4
"RafalMroczkowski",4
"KoppulaRajender",4
"Jagrutiti",4
"swamy-m-s",3
"strangelookingnerd",3
"steven-terrana",3
"rkivisto",3
"nikita-tkachenko-datadog",3
"loghijiaha",3
"coreydaley",3
"chriskilding",3
"aneveux",3
"Dohbedoh",3
"zaycev",2
"turbolocust",2
"topikachu",2
"tomasbjerre",2
"thyldrm",2
"sig-cpotts",2
"shubhamrai121",2
"rsahoo7495",2
"rkosegi",2
"pdk27",2
"nurgul212",2
"mustafau",2
"mpet",2
"mpatalon",2
"mikecirioli",2
"mig42",2
"maxlaverse",2
"mattmurp",2
"mPokornyETM",2
"lumyjuwon",2
"karthikmurali60",2
"jimklimov",2
"jgreffe",2
"huytunguyenn",2
"enaess",2
"divyasivasamy",2
"damianszczepanik",2
"cyrille-leclerc",2
"copart-jafloyd",2
"arturCwiklinsky",2
"TomNewChao",2
"Roy-Lu",2
"NikhitaK10",2
"Mysterious-Dev",2
"LinuxSuRen",2
"yshi-parasoft",1
"yangjuexi",1
"xocasdashdash",1
"welandaz",1
"vishalhcl-5960",1
"vg-leanix",1
"vbelouso",1
"tim-goto",1
"takashiharano",1
"szym1991",1
"stavros-k",1
"splitt3r",1
"sonatype-ci",1
"solvingj",1
"slide",1
"sitay93",1
"shashwot",1
"sdrss",1
"sawtheshib",1
"satyakommula96",1
"sams-gleb",1
"sampath-methuku-servicenow",1
"ryeleo",1
"rohanrama",1
"robinsoc",1
"rliu-parasoft",1
"rimitchell",1
"rajinikanthj",1
"rahulsom",1
"poorlyDefined",1
"philippebailer",1
"pbayarri",1
"patrikcerbak",1
"oleg-nenashev",1
"olavtar",1
"nissimshitrit",1
"nikhil-dabhade",1
"naraharip2017",1
"mtughan",1
"mscholze",1
"monksy",1
"marvinruder",1
"markrekveld",1
"mamh2021",1
"malice00",1
"lework",1
"kripajoym",1
"kp-autorola",1
"karenewlees",1
"jwenz723",1
"juanjsebgarcia",1
"jmMeessen",1
"jay-hershkowitz",1
"j-luong",1
"imonteroperez",1
"ikedam",1
"ikari7789",1
"idanhauser",1
"icep87",1
"halkeye",1
"guillermo-varela",1
"emouty",1
"eduard-tita",1
"duemir",1
"dtang-parasoft",1
"devmehtasynopsys",1
"danieldanan",1
"danielalfonsetti",1
"cronik",1
"cplohitha",1
"cmo-pomerium",1
"cdelmonte-zg",1
"cconnert",1
"car-roll",1
"c0d3m0nky",1
"benzch",1
"astos-marcb",1
"ash-sxn",1
"arothian",1
"anubhav1206",1
"ankit-patil-hubs",1
"andreachiera",1
"ampuscas",1
"amgtf",1
"allancth",1
"alecharp",1
"al3xanndru",1
"ahmadiesa-abu",1
"adusumillipraveen",1
"abuis",1
"aaabramov",1
"Waschndolos",1
"Wadeck",1
"TWestling",1
"SunBlack",1
"SujathaH",1
"SOOS-JAlvarez",1
"ReCodee",1
"Pldi23",1
"Pexers",1
"MxEh-TT",1
"Matanelc",1
"MartinGroscheTT",1
"LeSuisse",1
"KovalovVladislav",1
"Jonny-vb",1
"FangPengbo",1
"DuMaM",1
"ChriFo",1
"Bhagyashri-Sapnar",1
"264nm",1
"07souravkunda",1
